geometry,min_lon,min_lat,max_lon,max_lat,streets_length_370,building_count_580
"POLYGON ((-13629507.999999998 6023331.999999999, -13629007.999999998 6023331.999999999, -13629007.999999998 6023832, -13629507.999999998 6023832, -13629507.999999998 6023331.999999999))",-122.43595351429289,47.495508075116945,-122.43146193787229,47.49854271208219,0.0,0
"POLYGON ((-13629507.999999998 6023832, -13629007.999999998 6023832, -13629007.999999998 6024332, -13629507.999999998 6024332, -13629507.999999998 6023832))",-122.43595351429289,47.49854271208219,-122.43146193787229,47.50157717366297,0.0,0
"POLYGON ((-13629507.999999998 6024332, -13629007.999999998 6024332, -13629007.999999998 6024832, -13629507.999999998 6024832, -13629507.999999998 6024332))",-122.43595351429289,47.50157717366297,-122.43146193787229,47.50461145986092,0.0,0
"POLYGON ((-13629507.999999998 6024832, -13629007.999999998 6024832, -13629007.999999998 6025331.999999999, -13629507.999999998 6025331.999999999, -13629507.999999998 6024832))",-122.43595351429289,47.50461145986092,-122.43146193787229,47.507645570677646,0.0,0
"POLYGON ((-13629507.999999998 6025331.999999999, -13629007.999999998 6025331.999999999, -13629007.999999998 6025831.999999999, -13629507.999999998 6025831.999999999, -13629507.999999998 6025331.999999999))",-122.43595351429289,47.507645570677646,-122.43146193787229,47.5106795061148,0.0,0
"POLYGON ((-13629507.999999998 6025831.999999999, -13629007.999999998 6025831.999999999, -13629007.999999998 6026332, -13629507.999999998 6026332, -13629507.999999998 6025831.999999999))",-122.43595351429289,47.5106795061148,-122.43146193787229,47.513713266174,0.0,0
"POLYGON ((-13629507.999999998 6026332, -13629007.999999998 6026332, -13629007.999999998 6026832, -13629507.999999998 6026832, -13629507.999999998 6026332))",-122.43595351429289,47.513713266174,-122.43146193787229,47.51674685085688,553.2607486187009,0
"POLYGON ((-13629507.999999998 6026832, -13629007.999999998 6026832, -13629007.999999998 6027332.000000001, -13629507.999999998 6027332.000000001, -13629507.999999998 6026832))",-122.43595351429289,47.51674685085688,-122.43146193787229,47.51978026016509,563.9685375925889,0
"POLYGON ((-13629507.999999998 6027332.000000001, -13629007.999999998 6027332.000000001, -13629007.999999998 6027831.999999999, -13629507.999999998 6027831.999999999, -13629507.999999998 6027332.000000001))",-122.43595351429289,47.51978026016509,-122.43146193787229,47.52281349410024,0.0,0
"POLYGON ((-13629507.999999998 6027831.999999999, -13629007.999999998 6027831.999999999, -13629007.999999998 6028332.000000001, -13629507.999999998 6028332.000000001, -13629507.999999998 6027831.999999999))",-122.43595351429289,47.52281349410024,-122.43146193787229,47.52584655266399,0.0,0
"POLYGON ((-13629507.999999998 6028332.000000001, -13629007.999999998 6028332.000000001, -13629007.999999998 6028831.999999998, -13629507.999999998 6028831.999999998, -13629507.999999998 6028332.000000001))",-122.43595351429289,47.52584655266399,-122.43146193787229,47.52887943585797,0.0,0
"POLYGON ((-13629507.999999998 6028831.999999998, -13629007.999999998 6028831.999999998, -13629007.999999998 6029331.999999999, -13629507.999999998 6029331.999999999, -13629507.999999998 6028831.999999998))",-122.43595351429289,47.52887943585797,-122.43146193787229,47.531912143683826,0.0,0
"POLYGON ((-13629507.999999998 6029331.999999999, -13629007.999999998 6029331.999999999, -13629007.999999998 6029831.999999999, -13629507.999999998 6029831.999999999, -13629507.999999998 6029331.999999999))",-122.43595351429289,47.531912143683826,-122.43146193787229,47.5349446761432,0.0,0
"POLYGON ((-13629507.999999998 6029831.999999999, -13629007.999999998 6029831.999999999, -13629007.999999998 6030331.999999999, -13629507.999999998 6030331.999999999, -13629507.999999998 6029831.999999999))",-122.43595351429289,47.5349446761432,-122.43146193787229,47.537977033237745,0.0,0
"POLYGON ((-13629507.999999998 6030331.999999999, -13629007.999999998 6030331.999999999, -13629007.999999998 6030831.999999998, -13629507.999999998 6030831.999999998, -13629507.999999998 6030331.999999999))",-122.43595351429289,47.537977033237745,-122.43146193787229,47.54100921496909,0.0,0
"POLYGON ((-13629507.999999998 6030831.999999998, -13629007.999999998 6030831.999999998, -13629007.999999998 6031331.999999999, -13629507.999999998 6031331.999999999, -13629507.999999998 6030831.999999998))",-122.43595351429289,47.54100921496909,-122.43146193787229,47.5440412213389,0.0,0
"POLYGON ((-13629507.999999998 6031331.999999999, -13629007.999999998 6031331.999999999, -13629007.999999998 6031831.999999999, -13629507.999999998 6031831.999999999, -13629507.999999998 6031331.999999999))",-122.43595351429289,47.5440412213389,-122.43146193787229,47.547073052348836,0.0,0
"POLYGON ((-13629507.999999998 6031831.999999999, -13629007.999999998 6031831.999999999, -13629007.999999998 6032332, -13629507.999999998 6032332, -13629507.999999998 6031831.999999999))",-122.43595351429289,47.547073052348836,-122.43146193787229,47.55010470800053,0.0,0
"POLYGON ((-13629507.999999998 6032332, -13629007.999999998 6032332, -13629007.999999998 6032831.999999999, -13629507.999999998 6032831.999999999, -13629507.999999998 6032332))",-122.43595351429289,47.55010470800053,-122.43146193787229,47.55313618829565,0.0,0
"POLYGON ((-13629507.999999998 6032831.999999999, -13629007.999999998 6032831.999999999, -13629007.999999998 6033331.999999999, -13629507.999999998 6033331.999999999, -13629507.999999998 6032831.999999999))",-122.43595351429289,47.55313618829565,-122.43146193787229,47.556167493235854,0.0,0
"POLYGON ((-13629507.999999998 6033331.999999999, -13629007.999999998 6033331.999999999, -13629007.999999998 6033831.999999998, -13629507.999999998 6033831.999999998, -13629507.999999998 6033331.999999999))",-122.43595351429289,47.556167493235854,-122.43146193787229,47.559198622822784,0.0,0
